Date,Open,High,Low,Close,Adj Close,Volume
2018-07-25,49621.808594,49993.691406,49305.250000,49603.648438,49603.648438,152352300
2018-07-26,49637.300781,50037.441406,49322.871094,49438.238281,49438.238281,209954900
2018-07-27,49475.570313,49825.371094,49281.828125,49643.941406,49643.941406,145631700
2018-07-30,49635.851563,49954.859375,49542.910156,49705.281250,49705.281250,141630900
2018-07-31,49732.238281,50080.800781,49582.460938,49698.011719,49698.011719,162236700
2018-08-01,49742.058594,49786.718750,49394.660156,49449.441406,49449.441406,118712500
2018-08-02,49364.140625,49364.140625,48880.210938,49056.039063,49056.039063,116198200
2018-08-03,49237.269531,49439.710938,49183.738281,49302.570313,49302.570313,139429600
2018-08-06,49373.648438,49403.589844,49072.429688,49320.210938,49320.210938,75684900
2018-08-07,49411.378906,50071.988281,49411.378906,49963.871094,49963.871094,167824600
2018-08-08,49979.449219,49987.171875,49670.488281,49894.558594,49894.558594,107393100
2018-08-09,49931.519531,49957.000000,49218.851563,49244.398438,49244.398438,126922900
2018-08-10,49193.351563,49240.191406,48109.039063,48383.589844,48383.589844,178191700
2018-08-13,48383.730469,48902.128906,48365.050781,48767.019531,48767.019531,96122300
2018-08-14,48815.710938,49267.671875,48789.859375,49096.128906,49096.128906,131514600
2018-08-15,49033.171875,49054.238281,48468.531250,48556.691406,48556.691406,112472600
2018-08-16,48666.800781,48681.691406,47970.070313,48059.058594,48059.058594,142089600
2018-08-17,48065.218750,48308.980469,47879.078125,48264.628906,48264.628906,128370700
2018-08-20,48277.941406,48875.398438,48245.839844,48785.480469,48785.480469,77718200
2018-08-21,48791.839844,49430.031250,48731.378906,49344.050781,49344.050781,138129900
2018-08-22,49282.859375,49910.871094,49142.539063,49880.339844,49880.339844,146164100
2018-08-23,49895.308594,50093.359375,49636.910156,49749.558594,49749.558594,101141300
2018-08-24,49719.878906,50088.671875,49519.968750,49633.769531,49633.769531,59196300
2018-08-27,49789.191406,50485.511719,49789.191406,50416.269531,50416.269531,114161400
2018-08-28,50518.281250,50603.390625,49810.000000,50023.980469,50023.980469,134515200
2018-08-29,50048.839844,50238.089844,49927.898438,50187.480469,50187.480469,119419000
2018-08-30,50178.570313,50199.300781,49280.910156,49653.140625,49653.140625,112498700
2018-08-31,49540.089844,49900.148438,49297.558594,49547.679688,49547.679688,161152700
2018-09-03,49574.121094,49727.210938,49421.058594,49488.480469,49488.480469,14746800
2018-09-04,49491.410156,49541.300781,48805.160156,48884.171875,48884.171875,129616800
2018-09-05,48757.871094,48944.648438,48478.300781,48595.371094,48595.371094,138797600
2018-09-06,48631.300781,48904.710938,48553.058594,48711.851563,48711.851563,113931800
2018-09-07,48602.269531,48999.968750,48198.738281,48971.140625,48971.140625,112060300
2018-09-10,49027.398438,49044.808594,48571.699219,48848.738281,48848.738281,79593200
2018-09-11,48739.761719,48918.308594,48483.671875,48895.800781,48895.800781,114311200
2018-09-12,48886.878906,49347.359375,48687.800781,49254.980469,49254.980469,165457100
2018-09-13,49219.449219,49761.890625,49133.371094,49693.210938,49693.210938,187567300
2018-09-14,49460.308594,49841.570313,49342.468750,49611.929688,49611.929688,136086200
2018-09-17,49553.878906,49810.050781,49373.539063,49398.570313,49398.570313,75804000
2018-09-18,49412.000000,49843.589844,49395.511719,49661.828125,49661.828125,104226700
2018-09-19,49623.980469,49887.789063,49536.320313,49590.789063,49590.789063,129421200
2018-09-20,49590.980469,49812.140625,49315.390625,49510.781250,49510.781250,94879400
2018-09-21,49483.039063,49732.351563,49296.570313,49344.289063,49344.289063,543954900
2018-09-24,49304.878906,49486.718750,49032.769531,49417.218750,49417.218750,93047500
2018-09-25,49447.980469,49721.199219,49447.980469,49651.550781,49651.550781,88477300
2018-09-26,49675.710938,49944.289063,49555.128906,49606.070313,49606.070313,97265900
2018-09-27,49641.671875,49964.968750,49492.691406,49646.910156,49646.910156,105511000
2018-09-28,49542.511719,49644.238281,49347.519531,49504.160156,49504.160156,133890700
2018-10-01,49547.851563,50041.601563,49547.851563,49841.468750,49841.468750,92809700
2018-10-02,49821.570313,49924.621094,49290.421875,49376.500000,49376.500000,95809500
2018-10-03,49442.988281,49487.539063,48926.410156,49005.351563,49005.351563,172821200
2018-10-04,49001.398438,49001.398438,48461.218750,48683.261719,48683.261719,139178200
2018-10-05,48717.800781,48735.109375,48004.921875,48052.851563,48052.851563,128342300
2018-10-08,48018.351563,48183.281250,47869.238281,48093.101563,48093.101563,145536700
2018-10-09,48040.878906,48552.078125,47673.378906,48505.218750,48505.218750,115835800
2018-10-10,48506.960938,48525.109375,48025.269531,48136.179688,48136.179688,147682600
2018-10-11,48123.589844,48205.011719,47478.589844,47558.230469,47558.230469,183060400
2018-10-12,47656.859375,48078.441406,47071.238281,47444.050781,47444.050781,151846700
2018-10-15,47447.601563,47963.488281,47204.890625,47739.089844,47739.089844,107365800
2018-10-16,47830.808594,48299.230469,47794.308594,48191.570313,48191.570313,120949800
2018-10-17,48221.011719,48221.011719,47778.828125,47887.949219,47887.949219,130687000
2018-10-18,47823.339844,48026.191406,46929.421875,47024.460938,47024.460938,158751900
2018-10-19,47151.300781,47568.878906,47103.460938,47437.449219,47437.449219,174772800
2018-10-22,47485.738281,47672.921875,46657.820313,46962.738281,46962.738281,126751100
2018-10-23,46771.460938,46843.828125,46279.390625,46449.031250,46449.031250,159801500
2018-10-24,46537.179688,46640.171875,45898.378906,45959.039063,45959.039063,177518200
2018-10-25,46102.148438,46626.078125,46019.261719,46275.710938,46275.710938,160539500
2018-10-26,46107.968750,46118.460938,45677.269531,45803.328125,45803.328125,210198000
2018-10-29,45763.089844,45823.449219,43779.500000,43879.128906,43879.128906,283226200
2018-10-30,43849.519531,43932.878906,43407.488281,43538.121094,43538.121094,265281800
2018-10-31,43626.601563,44300.660156,43604.781250,43942.550781,43942.550781,350723200
2018-11-01,43993.351563,45585.011719,43964.828125,45446.828125,45446.828125,251785000
2018-11-05,45449.050781,46865.738281,45432.988281,46817.359375,46817.359375,263564600
2018-11-06,46797.871094,46975.179688,46120.488281,46328.351563,46328.351563,198618300
2018-11-07,46423.800781,46957.609375,46423.800781,46917.398438,46917.398438,207466200
2018-11-08,46808.519531,46815.621094,44019.789063,44190.250000,44190.250000,266730400
2018-11-09,44277.300781,44539.871094,42816.750000,44263.738281,44263.738281,293645100
2018-11-12,44098.929688,44253.109375,43172.160156,43310.011719,43310.011719,175353100
2018-11-13,43212.699219,43308.769531,42396.621094,42421.328125,42421.328125,210180300
2018-11-14,42474.820313,43220.578125,42141.941406,42343.960938,42343.960938,243201200
2018-11-15,42323.820313,42457.679688,41284.039063,41450.648438,41450.648438,163402200
2018-11-16,41368.589844,42460.859375,41368.589844,42319.269531,42319.269531,220705500
2018-11-20,41885.621094,42505.140625,41705.718750,41797.371094,41797.371094,196342700
2018-11-21,41893.441406,42216.039063,41456.660156,41499.929688,41499.929688,199105900
2018-11-22,41520.250000,41542.718750,41055.808594,41271.121094,41271.121094,61405500
2018-11-23,41342.371094,41557.210938,41084.441406,41144.328125,41144.328125,101392600
2018-11-26,41275.820313,41463.351563,39271.558594,39427.281250,39427.281250,278486700
2018-11-27,39557.898438,40150.000000,39470.000000,39807.281250,39807.281250,230570200
2018-11-28,39939.800781,41040.589844,39901.730469,40989.480469,40989.480469,296334900
2018-11-29,41038.851563,41973.800781,40985.261719,41913.449219,41913.449219,236661100
2018-11-30,41976.339844,41984.578125,41416.148438,41732.781250,41732.781250,407747600
2018-12-03,41976.609375,42947.199219,41844.058594,42081.781250,42081.781250,241424900
2018-12-04,42127.339844,42267.660156,41713.289063,41865.070313,41865.070313,245386100
2018-12-05,41929.941406,41992.359375,41748.421875,41895.269531,41895.269531,55449000
2018-12-06,41641.238281,42035.988281,41175.960938,41987.000000,41987.000000,210015100
2018-12-07,42031.539063,42315.839844,41781.601563,41870.128906,41870.128906,145493500
2018-12-10,41892.679688,41934.539063,41194.578125,41356.039063,41356.039063,161393200
2018-12-11,41512.109375,41665.179688,40799.320313,40897.851563,40897.851563,163015000
2018-12-13,41118.628906,41841.648438,41118.628906,41512.511719,41512.511719,207793600
2018-12-14,41539.550781,41744.738281,41243.789063,41312.171875,41312.171875,136776200
2018-12-17,41307.519531,41596.050781,40278.160156,40340.511719,40340.511719,136795100
2018-12-18,40480.750000,41148.398438,40419.199219,40917.570313,40917.570313,185471300
2018-12-19,40950.320313,42032.261719,40950.320313,41388.281250,41388.281250,222583500
2018-12-20,41562.238281,41751.898438,41309.398438,41683.269531,41683.269531,161386700
2018-12-21,41676.140625,41799.390625,41135.140625,41468.558594,41468.558594,432960100
2018-12-24,41421.558594,41698.250000,41182.609375,41380.109375,41380.109375,33657800
2018-12-26,41364.160156,41702.859375,41177.800781,41573.609375,41573.609375,79376300
2018-12-27,41444.238281,41584.640625,40978.921875,41417.851563,41417.851563,91005300
2018-12-28,41422.480469,41621.378906,41216.031250,41459.148438,41459.148438,68151300
2018-12-31,41461.691406,41723.691406,41421.070313,41640.269531,41640.269531,65622100
2019-01-02,41550.750000,42328.550781,41436.488281,42271.140625,42271.140625,68115200
2019-01-03,42172.261719,42292.390625,41699.781250,42044.320313,42044.320313,113098700
2019-01-04,42024.769531,42661.839844,42024.769531,42455.128906,42455.128906,110987200
2019-01-07,42489.050781,42896.109375,42313.058594,42834.199219,42834.199219,142739600
2019-01-08,43264.191406,43582.191406,43024.519531,43542.871094,43542.871094,174362500
2019-01-09,43563.718750,44046.769531,43552.609375,43648.070313,43648.070313,222062800
2019-01-10,43669.031250,43792.179688,43481.839844,43668.949219,43668.949219,189110700
2019-01-11,43707.269531,43761.191406,43372.601563,43556.109375,43556.109375,157125500
2019-01-14,43548.558594,43681.328125,43171.019531,43397.980469,43397.980469,118296200
2019-01-15,43387.750000,43747.988281,43387.750000,43603.621094,43603.621094,180731700
2019-01-16,43640.609375,43984.601563,43602.941406,43819.531250,43819.531250,181390300
2019-01-17,43845.460938,44070.839844,43843.070313,43932.078125,43932.078125,222954400
2019-01-18,44024.910156,44507.398438,43995.480469,44241.539063,44241.539063,191426300
2019-01-21,44273.359375,44541.410156,43797.101563,44028.960938,44028.960938,51613300
2019-01-22,44066.300781,44073.238281,43602.828125,43768.078125,43768.078125,180533500
2019-01-23,43831.789063,44104.570313,43382.351563,43679.671875,43679.671875,226028900
2019-01-24,43738.640625,43856.289063,43420.378906,43566.109375,43566.109375,167624100
2019-01-25,43603.121094,44051.761719,43436.949219,43638.621094,43638.621094,165295800
2019-01-28,43590.300781,43959.871094,43468.171875,43626.148438,43626.148438,213910000
2019-01-29,43671.468750,43902.078125,43607.140625,43700.101563,43700.101563,216394800
2019-01-30,43734.328125,43915.148438,43084.449219,43631.359375,43631.359375,175070700
2019-01-31,43668.539063,44190.281250,43600.011719,43987.941406,43987.941406,184179100
2019-02-01,44095.441406,44226.171875,43679.300781,43738.269531,43738.269531,145312800
2019-02-05,43898.109375,44491.750000,43830.468750,44337.101563,44337.101563,143140100
2019-02-06,44391.710938,44495.019531,43808.828125,43855.789063,43855.789063,184307300
2019-02-07,43808.781250,44090.488281,43586.871094,43624.550781,43624.550781,156102100
2019-02-08,43576.699219,43620.289063,43116.558594,43180.449219,43180.449219,111612400
2019-02-11,43126.039063,43471.871094,43108.500000,43285.171875,43285.171875,100496900
2019-02-12,43328.480469,43616.031250,42970.121094,43113.789063,43113.789063,169619700
2019-02-13,43138.511719,43194.250000,42202.960938,42284.058594,42284.058594,195295700
2019-02-14,42364.988281,42780.890625,42066.078125,42725.218750,42725.218750,184916300
2019-02-15,42810.128906,43035.531250,42677.390625,42988.718750,42988.718750,132320000
2019-02-18,43022.660156,43119.570313,42856.230469,42981.308594,42981.308594,24585100
2019-02-19,43003.410156,43320.519531,42803.878906,42949.500000,42949.500000,129307600
2019-02-20,42997.039063,43345.859375,42997.039063,43178.000000,43178.000000,170892600
2019-02-21,43161.039063,43633.480469,43003.390625,43577.640625,43577.640625,152692500
2019-02-22,43583.281250,44001.218750,43571.769531,43738.660156,43738.660156,137297100
2019-02-25,43805.269531,44070.128906,43634.640625,43664.328125,43664.328125,152162100
2019-02-26,43647.421875,43724.339844,43445.910156,43623.328125,43623.328125,175194100
2019-02-27,43662.121094,43662.121094,43184.859375,43311.179688,43311.179688,157917600
2019-02-28,43267.738281,43355.390625,42550.089844,42823.808594,42823.808594,294808900
2019-03-01,42947.710938,43021.910156,42291.941406,42619.230469,42619.230469,125346700
2019-03-04,42598.191406,42648.699219,42197.871094,42418.488281,42418.488281,110675000
2019-03-05,42367.921875,42425.089844,42099.859375,42128.910156,42128.910156,126793500
2019-03-06,42134.460938,42419.230469,41859.218750,41908.148438,41908.148438,146751000
2019-03-07,41911.531250,42008.468750,41523.921875,41641.839844,41641.839844,143660500
2019-03-08,41583.929688,41674.730469,41140.320313,41586.699219,41586.699219,140494000
2019-03-11,41631.191406,41985.089844,41490.621094,41876.171875,41876.171875,101281000
2019-03-12,41878.371094,42174.261719,41558.160156,41740.621094,41740.621094,128527300
2019-03-13,41836.308594,42026.640625,41795.011719,41932.558594,41932.558594,150059300
2019-03-14,41935.910156,41982.019531,41469.921875,41777.808594,41777.808594,133351200
2019-03-15,41810.089844,42309.968750,41798.949219,42210.460938,42210.460938,571444500
2019-03-19,42431.761719,42745.488281,42217.089844,42378.609375,42378.609375,208786400
2019-03-20,42389.601563,43250.609375,42231.191406,43156.210938,43156.210938,214931900
2019-03-21,43121.898438,43362.910156,42851.910156,43251.191406,43251.191406,150021700
2019-03-22,43052.281250,43076.121094,42132.300781,42259.121094,42259.121094,148439300
2019-03-25,42292.691406,42757.789063,42276.039063,42703.378906,42703.378906,142967200
2019-03-26,42695.750000,43013.820313,42679.421875,42826.160156,42826.160156,147062600
2019-03-27,42893.378906,43116.500000,42809.769531,42947.550781,42947.550781,166516700
2019-03-28,42982.980469,43069.929688,42539.441406,42942.230469,42942.230469,155395000
2019-03-29,43046.921875,43316.671875,42960.148438,43281.281250,43281.281250,201679200
2019-04-01,43302.449219,43838.191406,43302.449219,43672.058594,43672.058594,130210300
2019-04-02,43672.058594,43672.058594,43168.058594,43324.589844,43324.589844,115672300
2019-04-03,43391.929688,43658.960938,43298.199219,43339.750000,43339.750000,139044600
2019-04-04,43341.191406,43990.179688,43252.281250,43937.390625,43937.390625,130329800
2019-04-05,44007.730469,45023.539063,44007.730469,44989.859375,44989.859375,217740400
2019-04-08,44970.179688,45513.898438,44725.218750,45436.281250,45436.281250,162478900
2019-04-09,45346.828125,45346.828125,44854.531250,45151.628906,45151.628906,191575000
2019-04-10,45204.750000,45219.410156,44850.109375,44909.140625,44909.140625,145314900
2019-04-11,44872.531250,44966.500000,44373.488281,44580.058594,44580.058594,109090000
2019-04-12,44767.671875,44888.699219,44534.378906,44686.058594,44686.058594,143662400
2019-04-15,44649.738281,44900.929688,44347.531250,44625.781250,44625.781250,108627100
2019-04-16,44665.289063,45061.789063,44644.058594,45009.359375,45009.359375,136771900
2019-04-17,45038.351563,45599.570313,44922.601563,45525.289063,45525.289063,110086300
2019-04-22,45507.781250,45590.441406,45321.218750,45381.218750,45381.218750,86717900
2019-04-23,45355.929688,45424.421875,44948.691406,45148.320313,45148.320313,132582400
2019-04-24,45112.128906,45186.269531,44666.250000,45045.328125,45045.328125,131485100
2019-04-25,45005.039063,45064.929688,44712.300781,45026.679688,45026.679688,125639200
2019-04-26,45074.699219,45208.371094,44769.351563,44974.968750,44974.968750,109775400
2019-04-29,44987.050781,45211.148438,44686.531250,44956.730469,44956.730469,99063800
2019-04-30,44900.019531,44904.050781,44338.519531,44597.320313,44597.320313,182198500
2019-05-02,44513.050781,44577.000000,44236.359375,44312.429688,44312.429688,152299700
2019-05-03,44207.359375,44517.609375,44187.468750,44277.238281,44277.238281,131697100
2019-05-06,44083.671875,44175.941406,43733.511719,44116.699219,44116.699219,112770300
2019-05-07,44041.781250,44047.710938,43408.968750,43583.601563,43583.601563,124978400
2019-05-08,43550.730469,43629.980469,43265.589844,43410.738281,43410.738281,137524600
2019-05-09,43249.808594,43292.320313,42634.851563,43193.359375,43193.359375,213444900
2019-05-10,43082.878906,43496.531250,42591.929688,43382.351563,43382.351563,176698300
2019-05-13,43172.289063,43210.140625,42524.210938,43142.460938,43142.460938,158579700
2019-05-14,43115.828125,43555.609375,43065.058594,43431.531250,43431.531250,178927100
2019-05-15,43235.359375,43389.539063,42976.449219,43338.820313,43338.820313,168554600
2019-05-16,43357.078125,43696.328125,43259.371094,43442.488281,43442.488281,224795700
2019-05-17,43355.289063,43612.890625,43289.289063,43445.621094,43445.621094,145460800
2019-05-20,43513.640625,43802.250000,43240.011719,43519.218750,43519.218750,128816700
2019-05-21,43559.128906,43657.820313,42951.121094,43190.101563,43190.101563,158536500
2019-05-22,43145.109375,43151.238281,42716.511719,42942.230469,42942.230469,112411600
2019-05-23,42834.261719,42863.410156,42505.328125,42812.570313,42812.570313,130074300
2019-05-24,42878.929688,42957.679688,42299.230469,42617.601563,42617.601563,109779100
2019-05-27,42605.789063,42613.871094,42454.191406,42491.429688,42491.429688,55464400
2019-05-28,42497.480469,42601.988281,42103.101563,42207.710938,42207.710938,517663300
2019-05-29,42108.980469,42889.558594,42050.421875,42854.750000,42854.750000,160494600
2019-05-30,42861.398438,43464.238281,42818.179688,43345.820313,43345.820313,147956400
2019-05-31,42693.109375,42867.101563,42304.929688,42749.160156,42749.160156,237096200
2019-06-03,42857.789063,43319.160156,42748.738281,43108.421875,43108.421875,206974600
