Date,Open,High,Low,Close,Adj Close,Volume
2018-01-23,23924.400391,24129.339844,23916.019531,24124.150391,24124.150391,73400
2018-01-24,24026.429688,24072.769531,23917.140625,23940.779297,23940.779297,79900
2018-01-25,23750.650391,23828.400391,23649.029297,23669.490234,23669.490234,81500
2018-01-26,23757.339844,23797.960938,23592.279297,23631.880859,23631.880859,87200
2018-01-29,23707.140625,23787.230469,23580.169922,23629.339844,23629.339844,68800
2018-01-30,23559.330078,23581.980469,23233.369141,23291.970703,23291.970703,88800
2018-01-31,23205.230469,23375.380859,23092.849609,23098.289063,23098.289063,99800
2018-02-01,23276.099609,23492.769531,23211.119141,23486.109375,23486.109375,101800
2018-02-02,23361.669922,23367.960938,23122.449219,23274.529297,23274.529297,98600
2018-02-05,22921.160156,22967.689453,22659.429688,22682.080078,22682.080078,107600
2018-02-06,22267.000000,22277.449219,21078.710938,21610.240234,21610.240234,190100
2018-02-07,22001.289063,22353.869141,21627.130859,21645.369141,21645.369141,143500
2018-02-08,21721.570313,21977.029297,21649.699219,21890.859375,21890.859375,104700
2018-02-09,21507.740234,21510.300781,21119.009766,21382.619141,21382.619141,127600
2018-02-12,null,null,null,null,null,null
2018-02-13,21633.339844,21679.199219,21211.529297,21244.679688,21244.679688,114700
2018-02-14,21251.240234,21371.009766,20950.150391,21154.169922,21154.169922,103900
2018-02-15,21384.099609,21578.990234,21308.919922,21464.980469,21464.980469,86400
2018-02-16,21555.990234,21866.369141,21499.880859,21720.250000,21720.250000,77800
2018-02-19,21903.660156,22152.849609,21858.330078,22149.210938,22149.210938,68500
2018-02-20,22054.320313,22063.869141,21831.449219,21925.099609,21925.099609,67500
2018-02-21,21942.419922,22130.580078,21836.730469,21970.810547,21970.810547,77900
2018-02-22,21789.880859,21799.400391,21626.849609,21736.439453,21736.439453,77300
2018-02-23,21789.720703,21903.390625,21741.630859,21892.779297,21892.779297,64600
2018-02-26,22134.640625,22226.529297,22040.869141,22153.630859,22153.630859,64600
2018-02-27,22391.669922,22502.050781,22325.070313,22389.859375,22389.859375,74300
2018-02-28,22292.529297,22380.279297,22068.240234,22068.240234,22068.240234,88800
2018-03-01,21901.130859,21901.130859,21645.220703,21724.470703,21724.470703,90300
2018-03-02,21339.980469,21366.089844,21088.960938,21181.640625,21181.640625,97100
2018-03-05,21047.810547,21164.380859,20937.259766,21042.089844,21042.089844,87200
2018-03-06,21390.199219,21551.140625,21381.419922,21417.759766,21417.759766,76400
2018-03-07,21261.960938,21484.080078,21201.939453,21252.720703,21252.720703,87000
2018-03-08,21488.160156,21488.160156,21299.400391,21368.070313,21368.070313,72100
2018-03-09,21594.220703,21884.449219,21357.550781,21469.199219,21469.199219,110500
2018-03-12,21826.099609,21971.160156,21689.970703,21824.029297,21824.029297,70600
2018-03-13,21742.449219,21968.099609,21700.779297,21968.099609,21968.099609,68100
2018-03-14,21764.990234,21881.089844,21684.019531,21777.289063,21777.289063,65000
2018-03-15,21704.140625,21825.970703,21555.490234,21803.949219,21803.949219,65300
2018-03-16,21876.529297,21879.279297,21632.849609,21676.509766,21676.509766,75700
2018-03-19,21537.900391,21659.039063,21366.880859,21480.900391,21480.900391,67300
2018-03-20,21297.980469,21384.859375,21223.970703,21380.970703,21380.970703,66500
2018-03-21,null,null,null,null,null,null
2018-03-22,21352.160156,21592.000000,21349.710938,21591.990234,21591.990234,82600
2018-03-23,21188.800781,21188.800781,20559.609375,20617.859375,20617.859375,121000
2018-03-26,20423.369141,20766.099609,20347.490234,20766.099609,20766.099609,97500
2018-03-27,20958.900391,21317.320313,20943.310547,21317.320313,21317.320313,101900
2018-03-28,20893.050781,21031.310547,20776.820313,21031.310547,21031.310547,88100
2018-03-29,21250.960938,21298.570313,20996.220703,21159.080078,21159.080078,78900
2018-03-30,21392.419922,21512.800781,21311.500000,21454.300781,21454.300781,63600
2018-04-02,21441.570313,21597.470703,21388.580078,21388.580078,21388.580078,47500
2018-04-03,21115.480469,21333.500000,21056.019531,21292.289063,21292.289063,63800
2018-04-04,21415.849609,21415.849609,21238.179688,21319.550781,21319.550781,75600
2018-04-05,21541.179688,21737.660156,21462.099609,21645.419922,21645.419922,80700
2018-04-06,21633.730469,21742.839844,21550.419922,21567.519531,21567.519531,74400
2018-04-09,21534.330078,21737.089844,21517.769531,21678.259766,21678.259766,62100
2018-04-10,21599.669922,21933.990234,21542.369141,21794.320313,21794.320313,74700
2018-04-11,21819.089844,21837.359375,21687.099609,21687.099609,21687.099609,69500
2018-04-12,21657.869141,21719.429688,21591.390625,21660.279297,21660.279297,58400
2018-04-13,21801.410156,21917.349609,21746.689453,21778.740234,21778.740234,73100
2018-04-16,21843.550781,21879.689453,21775.609375,21835.529297,21835.529297,53400
2018-04-17,21801.830078,21889.890625,21772.419922,21847.589844,21847.589844,57400
2018-04-18,21929.009766,22194.109375,21914.960938,22158.199219,22158.199219,70400
2018-04-19,22231.859375,22360.650391,22176.859375,22191.179688,22191.179688,79700
